Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c4, d: d7, e: e8, f: f9, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 2
  Turn 1: Party 1       (Offer: Bid[a: a8, b: b8, c: c4, d: d7, e: e10, f: f9, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 3
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c6, d: d1, e: e4, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 4
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c1, d: d1, e: e4, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 5
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c1, d: d1, e: e7, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 6
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b4, c: c6, d: d7, e: e10, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 7
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b8, c: c4, d: d9, e: e2, f: f9, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 8
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c6, d: d7, e: e3, f: f4, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 9
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b8, c: c4, d: d9, e: e10, f: f8, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 10
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b10, c: c4, d: d9, e: e10, f: f6, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 11
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c1, d: d1, e: e3, f: f4, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 12
  Turn 1: Party 1       (Offer: Bid[a: a10, b: b1, c: c1, d: d1, e: e4, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 13
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c6, d: d1, e: e3, f: f1, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 14
  Turn 1: Party 1       (Offer: Bid[a: a1, b: b1, c: c1, d: d1, e: e4, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 15
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c1, d: d1, e: e3, f: f1, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 16
  Turn 1: Party 1       (Offer: Bid[a: a10, b: b10, c: c1, d: d1, e: e4, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 17
  Turn 1: Party 1       (Offer: Bid[a: a1, b: b1, c: c1, d: d1, e: e5, f: f3, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 18
  Turn 1: Party 1       (Offer: Bid[a: a1, b: b1, c: c1, d: d1, e: e4, f: f2, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 19
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c3, d: d1, e: e3, f: f1, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 20
  Turn 1: Party 1       (Offer: Bid[a: a8, b: b10, c: c6, d: d10, e: e8, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 21
  Turn 1: Party 1       (Offer: Bid[a: a8, b: b10, c: c6, d: d10, e: e1, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 22
  Turn 1: Party 1       (Offer: Bid[a: a10, b: b10, c: c4, d: d9, e: e8, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 23
  Turn 1: Party 1       (Offer: Bid[a: a1, b: b1, c: c1, d: d1, e: e1, f: f4, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 24
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c2, d: d1, e: e3, f: f1, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 25
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b8, c: c4, d: d10, e: e2, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
